231202501,费涛皓,男,87,94,87,268,9
231202502,郑航,女,64,74,72,210,51
231202503,严洁熙,男,64,80,91,235,36
231202504,任华,女,74,96,89,259,14
231202505,乐诺,男,95,91,80,266,11
231202506,贺琪,女,87,60,84,231,40
231202507,邬鑫,男,71,64,99,234,37
231202508,彭强洁,女,96,93,89,278,3
231202509,陶洁,男,90,62,78,230,41
231202510,施华雅,女,60,89,60,209,52
231202511,萧华,男,79,65,77,221,47
231202512,金丽,女,99,98,92,289,1
231202513,傅语佑,男,82,76,88,246,25
231202514,陶佑,女,97,95,65,257,16
231202515,鲁佳,男,62,74,75,211,50
231202516,薛宇熙,女,96,85,71,252,19
231202517,范懿勇,男,61,68,67,196,59
231202518,雷军超,女,100,79,61,240,31
231202519,穆娜,男,77,60,99,236,35
231202520,窦超,女,64,100,74,238,33
231202521,卜嘉文,男,63,91,91,245,26
231202522,卞瑞,女,79,80,70,229,42
231202523,孙伟,男,67,83,93,243,28
231202524,施宇明,女,95,95,77,267,10
231202525,孔超,男,85,98,90,273,6
231202526,郝超航,女,84,99,94,277,4
231202527,喻强,男,84,62,82,228,43
231202528,尹嘉,女,79,65,83,227,44
231202529,戚秀,男,63,61,82,206,54
231202530,于轩,女,73,60,89,222,46
231202531,朱超怡,男,94,66,73,233,38
231202532,费桂,女,89,69,92,250,21
231202533,平豪轩,男,75,90,72,237,34
231202534,范嘉萱,女,63,71,68,202,56
231202535,沈欣艳,男,88,83,91,262,12
231202536,殷芳,女,73,98,90,261,13
231202537,潘天子,男,81,80,78,239,32
231202538,于娟敏,女,78,75,61,214,49
231202539,元浩语,男,94,81,74,249,22
231202540,陈嘉军,女,81,61,73,215,48
231202541,贺可,男,81,98,96,275,5
231202542,毕刚娟,女,92,62,78,232,39
231202543,顾博,男,81,94,94,269,8
231202544,安晨,女,71,98,84,253,18
231202545,何志琪,男,88,79,91,258,15
231202546,卫豪,女,93,86,62,241,30
231202547,孔然墨,男,61,98,85,244,27
231202548,孔思墨,女,68,61,62,191,60
231202549,孙洁,男,83,60,99,242,29
231202550,柏墨,女,95,66,87,248,23
231202551,谢航,男,83,80,93,256,17
231202552,周博文,女,75,64,66,205,55
231202553,毕梓欣,男,71,81,99,251,20
231202554,陶诺,女,63,67,67,197,58
231202555,卫雪,男,72,66,63,201,57
231202556,孔涵,女,88,100,94,282,2
231202557,孟宇,男,94,65,88,247,24
231202558,和静怡,女,95,67,62,224,45
231202559,范文,男,93,82,96,271,7
231202560,水思瑞,女,83,64,60,207,53
